0,63,3
1,96,4
2,86,3
3,86,3
4,76,4
5,87,2
6,69,3
7,97,1
8,88,4
9,71,4
10,95,2
11,68,5
12,45,4
13,66,1
14,58,3
15,86,4
16,98,3
17,82,1
18,18,3
19,25,2
20,93,2
21,41,3
22,94,3
23,60,3
24,60,1
25,96,4
26,29,4
27,21,1
28,47,2
29,1,4
30,63,4
31,57,2
32,11,4
33,66,5
34,28,4
35,30,1
36,53,3
37,58,2
38,0,4
39,47,1
40,67,2
41,60,1
42,91,4
43,8,4
44,75,3
45,88,3
46,29,2
47,67,2
48,5,2
49,2,1
50,19,1
51,86,3
52,9,2
53,73,4
54,67,4
55,44,2
56,54,4
57,99,2
58,66,5
59,66,5
60,27,4
61,70,5
62,48,4
63,49,4
64,82,1
65,31,5
66,80,5
67,66,1
68,15,2
69,50,4
70,18,1
71,69,1
72,25,2
73,48,4
74,86,3
75,82,4
76,88,4
77,90,3
78,9,3
79,37,3
80,13,4
81,84,3
82,21,2
83,7,2
84,48,4
85,30,4
86,48,3
87,83,3
88,67,5
89,66,5
90,43,3
91,32,1
92,41,3
93,64,2
94,64,1
95,57,2
96,66,5
97,75,3
98,41,1
99,79,3
100,60,1
101,66,1
102,60,1
103,86,2
104,52,2
105,26,4
106,12,2
107,88,4
108,50,3
109,47,2
110,64,3
111,79,1
112,31,5
113,84,3
114,42,1
115,67,3
116,57,3
117,69,3
118,33,3
119,29,2
120,17,4
121,19,1
122,60,1
123,69,3
124,27,4
125,96,4
126,74,1
127,54,5
128,31,5
129,77,3
130,64,3
131,60,1
132,96,4
133,60,1
134,27,4
135,13,2
136,66,1
137,99,4
138,40,3
139,19,1
140,82,5
141,29,3
142,76,3
143,41,2
144,34,4
145,2,3
146,87,1
147,57,2
148,26,1
149,86,2
150,3,5
151,9,3
152,29,3
153,88,3
154,88,3
155,22,3
156,40,4
157,66,5
158,5,4
159,11,5
160,66,1
161,53,3
162,11,5
163,57,2
164,86,4
165,86,3
166,23,3
167,29,4
168,12,3
169,19,1
170,70,4
171,20,3
172,60,1
44,4,3
26,6,2
16,10,2
17,14,3
125,16,1
7,24,3
53,35,4
94,36,2
167,38,4
137,39,3
144,46,5
17,51,2
168,55,2
12,56,3
60,59,4
150,61,3
158,62,2
26,65,5
121,72,4
94,78,4
127,81,3
108,85,4
108,89,3
28,92,4
17,36,5
81,73,4
56,90,3
94,99,3
65,86,3
16,37,3
118,15,1
37,32,2
167,2,3
17,17,4
159,32,3
150,43,3
168,90,3
132,14,3
127,71,4
44,37,3
137,40,4
167,31,5
138,51,4
12,23,3
142,79,2
158,21,5
4,5,4
16,69,1
166,35,4
1,78,3
11,73,2
150,6,2
81,16,4
76,58,3
127,10,4
159,93,2
121,83,3
167,67,4
140,37,4
144,22,2
104,57,2
21,2,3
8,86,3
107,84,3
28,44,1
16,55,3
17,53,4
118,68,4
166,62,3
8,9,3
11,13,1
146,89,2
138,61,5
60,16,5
17,33,4
36,77,5
81,66,1
129,82,2
159,63,5
140,71,4
28,56,3
168,27,3
1,71,5
93,41,3
158,49,4
36,75,3
144,20,3
28,4,4
144,63,3
81,47,3
81,92,4
28,26,3
127,52,5
132,38,3
14,87,1
44,65,4
94,53,3
17,24,4
132,87,2
16,70,2
105,0,3
127,12,2
144,70,4
53,94,5
29,62,3
105,32,2
1,80,5
140,15,3
46,39,5
116,31,5
140,10,2
94,95,3
138,6,5
116,10,3
107,31,4
94,44,4
138,29,4
152,70,5
150,10,3
169,96,3
137,19,2
138,42,2
167,24,3
144,80,1
152,18,4
37,25,4
115,20,3
76,1,3
1,82,1
132,62,3
36,35,3
63,65,5
25,14,3
1,77,4
109,9,3
53,19,3
69,3,4
159,84,4
112,11,5
28,63,5
97,84,3
124,41,2
8,36,3
145,98,4
2,2,1
29,66,2
158,15,2
137,54,4
56,52,3
145,17,4
66,51,4
28,55,4
171,47,1
28,96,3
167,32,2
36,28,3
4,19,4
112,1,3
29,43,1
159,9,3
91,4,2
28,48,5
76,32,3
54,89,4
167,91,3
14,84,4
69,97,3
98,26,3
81,15,4
127,37,3
127,48,2
94,47,2
56,76,4
127,3,3
53,2,3
147,79,3
138,79,5
158,96,4
1,52,4
169,12,3
140,36,4
43,39,5
68,76,4
107,63,5
17,68,4
53,7,3
56,70,5
104,91,3
138,75,5
136,69,3
66,64,3
65,70,4
81,54,2
9,87,1
138,95,5
127,30,5
124,11,4
56,44,4
16,61,4
152,50,4
150,67,5
140,18,2
60,22,3
21,64,3
76,84,3
169,86,3
69,37,3
36,24,4
53,53,3
36,18,4
129,38,4
56,71,4
162,88,4
147,60,1
112,14,3
70,41,3
60,40,3
63,35,4
76,12,2
94,73,5
28,94,3
94,1,4
76,24,3
116,70,5
166,22,2
16,17,3
28,15,4
14,14,1
150,29,3
8,6,2
112,86,4
21,49,4
81,8,3
135,12,2
150,2,4
30,88,3
76,55,4
26,21,4
159,81,5
91,91,3
56,67,3
44,24,3
138,47,5
12,8,4
138,21,4
8,23,3
140,35,4
171,96,5
81,11,3
81,21,4
36,95,4
53,33,5
171,5,3
47,79,5
26,62,3
26,44,5
26,17,5
168,52,4
17,50,3
152,75,4
69,22,4
94,49,4
81,4,4
107,37,3
152,3,5
28,97,4
112,62,3
7,98,2
167,42,5
168,86,4
166,44,3
28,89,4
110,48,2
128,41,3
21,18,4
138,52,5
105,21,4
121,10,4
21,16,5
17,85,5
81,76,3
166,52,4
39,72,3
7,87,4
104,12,1
162,42,2
161,96,3
44,36,2
118,0,2
17,5,2
138,1,5
132,89,1
94,45,4
109,20,1
91,29,1
144,74,4
116,54,5
100,76,2
26,93,4
167,89,3
116,85,5
116,30,4
16,89,3
159,72,1
111,27,4
132,51,4
28,59,4
105,23,4
105,67,2
76,27,3
100,93,2
150,85,3
29,73,5
140,96,4
56,34,4
21,29,2
169,66,1
12,19,4
29,17,5
171,86,3
163,80,5
129,3,4
4,20,3
69,28,3
166,65,3
4,53,4
138,53,5
26,46,5
7,29,2
81,58,2
44,39,3
81,75,4
26,3,5
88,77,2
26,55,4
161,88,2
47,28,3
138,7,4
28,69,2
105,76,2
138,97,5
168,96,4
28,25,5
167,54,4
94,9,3
152,71,4
82,16,1
158,92,5
91,58,3
94,17,4
36,10,4
54,28,4
16,97,4
159,89,3
59,60,1
116,91,4
142,25,4
155,75,4
150,75,3
118,83,3
36,61,4
140,62,3
150,13,2
104,84,3
26,54,4
12,55,3
159,26,3
8,65,4
8,70,5
4,28,3
150,15,3
138,74,5
113,57,5
65,62,3
60,86,3
26,92,5
44,21,5
166,45,4
36,32,3
33,59,3
150,76,3
105,79,2
36,84,3
26,18,4
142,23,2
4,12,4
130,14,4
138,27,5
56,14,2
109,50,3
26,31,5
167,83,4
132,90,5
145,4,4
97,9,2
1,88,4
130,92,4
39,31,5
140,97,5
60,1,3
12,33,2
44,48,3
8,46,3
17,59,5
121,81,5
26,41,3
109,58,3
116,21,3
138,49,3
138,63,2
158,2,3
105,53,3
76,29,3
116,19,3
16,24,4
94,5,3
169,51,4
138,88,3
110,7,4
53,41,3
158,78,3
1,99,4
17,61,3
108,74,1
63,25,3
17,0,4
26,79,4
156,60,1
146,13,1
17,26,4
56,75,3
56,64,2
27,39,3
150,41,3
137,25,2
116,48,3
105,63,4
129,55,3
132,5,3
66,99,2
58,60,1
37,27,4
138,91,5
132,55,4
150,8,4
17,34,3
167,28,3
140,13,5
138,64,3
94,18,3
111,30,3
130,10,2
26,85,5
140,73,3
112,81,5
